date;minimum;median;maximum;items
2021-05-05;2501.41;4047.16;6450.52;198
2021-05-06;2513.3;4060.75;6464.75;199
2021-05-07;2513.3;4061.13;6464.74;199
2021-05-08;2483.01;4012.7;6387.12;199
2021-05-09;2483.08;4012.82;6387.73;199
2021-05-10;2483.49;4015.52;6386.65;199
2021-05-11;2515.99;4031.81;6410.96;199
2021-05-12;2515.99;4031.36;6418.07;199
2021-05-13;2546.83;4082.44;6489.25;199
2021-05-14;2546.82;4081.86;6488.13;199
2021-05-15;2516.51;4032.34;6381.56;199
2021-05-16;2517.0;4033.16;6383.89;199
2021-05-17;2519.46;4034.62;6382.23;199
2021-05-19;2512.9;4034.99;6393.24;199
2021-05-19;2513.04;4035.72;6393.54;199
2021-05-20;2516.29;4036.25;6407.7;199
2021-05-21;2520.12;4039.76;6413.72;199
2021-05-22;2524.78;4040.08;6413.72;199
2021-05-23;2524.78;4040.08;6413.72;199
2021-05-24;2524.97;4040.73;6414.13;199
2021-05-25;2525.36;4047.05;6424.42;199
2021-05-26;2525.52;4047.05;6424.42;199
2021-05-27;2525.52;4047.04;6424.41;199
2021-05-28;2545.58;4072.52;6460.81;200
2021-05-29;2545.97;4075.53;6461.87;200
2021-05-30;2545.97;4075.53;6461.86;200
2021-05-31;2545.97;4075.53;6461.86;200
2021-06-01;2546.0;4080.47;6463.9;200
2021-06-02;2550.82;4082.27;6475.67;200
2021-06-03;2550.82;4082.59;6475.66;200
2021-06-04;2571.55;4115.37;6528.25;200
2021-06-05;2552.06;4082.87;6479.25;200
2021-06-06;2546.71;4081.4;6489.76;200
2021-06-07;2548.4;4086.93;6490.24;200
2021-06-08;2548.39;4087.12;6490.23;200
2021-06-09;2549.11;4089.86;6491.23;200
2021-06-10;2549.11;4089.94;6475.9;200
2021-06-11;2549.11;4090.65;6476.16;200
2021-06-12;2580.19;4140.54;6555.14;200
2021-06-13;2580.19;4140.54;6555.14;200
2021-06-14;2579.89;4140.65;6557.99;200
2021-06-15;2563.87;4111.77;6506.8;200
2021-06-16;2563.79;4116.86;6517.95;200
2021-06-17;2584.67;4151.56;6606.18;200
2021-06-18;2656.64;4241.79;6727.12;201
2021-06-19;2656.61;4241.57;6726.87;201
2021-06-20;2661.56;4242.16;6779.9;201
2021-06-21;2658.24;4236.36;6741.84;201
2021-06-22;2658.97;4237.79;6741.23;201
2021-06-23;2657.25;4237.59;6740.99;202
2021-06-24;2657.21;4235.44;6738.99;202
2021-06-25;2656.48;4238.12;6743.88;202
2021-06-26;2656.48;4238.12;6743.88;202
2021-06-27;2656.48;4238.12;6743.88;202
2021-06-28;2655.12;4237.31;6737.23;202
2021-06-29;2655.0;4238.07;6737.23;202
2021-06-30;2655.0;4238.36;6737.23;202
2021-07-01;2655.0;4238.36;6737.23;202
2021-07-02;2654.61;4242.75;6736.01;202
2021-07-03;2656.71;4242.75;6735.74;202
2021-07-04;2656.48;4235.21;6729.74;202
2021-07-05;2655.12;4233.58;6728.78;202
2021-07-06;2655.03;4233.53;6742.72;202
2021-07-07;2686.65;4283.95;6823.01;202
2021-07-08;2684.95;4283.56;6822.72;202
2021-07-09;2663.33;4249.88;6778.03;202
2021-07-10;2652.42;4230.86;6762.05;202
2021-07-12;2644.03;4233.64;6745.94;202
2021-07-12;2644.02;4233.79;6741.9;202
2021-07-13;2644.08;4245.98;6742.35;202
2021-07-14;2665.08;4279.7;6795.9;202
2021-07-15;2662.1;4261.86;6763.62;202
2021-07-16;2683.14;4295.57;6826.47;202
2021-07-18;2683.14;4295.57;6826.47;202
2021-07-18;2689.08;4300.33;6833.1;202
2021-07-19;2689.08;4300.33;6833.1;202
2021-07-20;2688.42;4300.84;6839.3;202
2021-07-21;2688.42;4300.84;6839.3;202
2021-07-22;2688.42;4300.84;6839.3;202
2021-07-24;2688.42;4300.84;6839.3;202
2021-07-24;2688.42;4301.11;6839.91;202
2021-07-25;2688.37;4300.51;6882.33;202
2021-07-26;2687.89;4301.12;6881.51;202
2021-07-27;2687.89;4301.12;6881.51;202
2021-07-28;2687.46;4305.16;6881.36;202
2021-07-29;2666.38;4270.28;6827.39;202
2021-07-30;2658.67;4253.41;6800.38;202
2021-07-31;2658.68;4253.43;6801.34;202
2021-08-01;2657.86;4252.32;6797.15;202
2021-08-02;2658.98;4252.69;6797.3;202
2021-08-03;2658.99;4253.27;6797.3;202
2021-08-04;2658.99;4253.27;6797.3;202
2021-08-05;2670.06;4255.02;6800.23;202
2021-08-06;2691.4;4289.2;6853.85;202
2021-08-07;2701.99;4306.08;6880.65;202
2021-08-08;2701.99;4306.08;6880.56;202
2021-08-09;2702.4;4306.72;6878.95;202
2021-08-10;2701.11;4307.45;6878.75;202
2021-08-11;2701.11;4305.81;6878.44;202
2021-08-12;2701.11;4305.81;6878.44;202
2021-08-13;2701.11;4305.81;6878.44;202
2021-08-14;2701.11;4305.81;6878.44;202
2021-08-15;2701.11;4305.81;6875.45;202
2021-08-16;2699.5;4305.23;6891.72;202
2021-08-18;2699.5;4305.23;6891.72;202
2021-08-18;2699.5;4305.23;6891.72;202
2021-08-20;2711.71;4339.0;6943.39;202
2021-08-21;2701.12;4323.12;6916.12;202
2021-08-22;2690.57;4306.24;6889.11;202
2021-08-23;2690.57;4306.24;6889.11;202
2021-08-24;2690.57;4306.24;6889.11;202
2021-08-25;2690.57;4305.91;6888.62;202
2021-08-26;2691.91;4302.01;6887.51;202
2021-08-27;2691.91;4302.56;6887.51;202
